BRD_ID,MAIN_NOISE,MAIN_GAIN_60,MAIN_GAIN_LOW,MAIN_BW,LIM_NOISE,LIM_BW
18,0.10085191107799268,-93.23387455262953,-0.48696294475060276,"[-93.6384840509167, -7.054270429017379, -6.668506057498661]",0.24753752844939467,"[-88.44719025313341, -2.335348069104171, 7.66114890322126]"
18,,,,"[-93.1487505254299, -6.518715878166631, -5.905592880479574]",,
18,0.1767870947226982,-93.25754035161219,0.13838150025056362,"[-93.26467282947561, -6.746562739497989, -6.104411167103606]",0.17721234051903478,"[-88.52025724486242, -2.4815458462450692, -2.6560221101164814]"
18,0.15639185651810966,-93.22501252033591,0.13461248740499387,"[-93.27531700856562, -6.691822238121404, -6.360740096603649]",0.23650022741972823,"[-88.51790286021527, -2.535161404931216, -2.696784464229239]"
18,0.1578560015661238,-93.19368100903665,0.13096706480300147,"[-93.27342800498721, -6.704465283049458, -6.375339893535298]",0.13115448717020997,"[-88.52677287161359, -2.508095001155752, -2.6936356670234147]"
18,0.04636971340956787,-61.83693151077655,-41.767426450176956,"[-61.84184371043795, -6.128629097520488, -6.006435907287035]",0.11115868054000705,"[-101.07295874971824, -6.018095772740011, -5.644555157296679]"
18,0.04940659256551836,-61.84174974949704,-41.75150941878181,"[-61.86186292190286, -6.1404709100407615, -6.024568431119]",0.11571013043536914,"[-101.07495042048917, -5.894967918780921, -5.746203122561312]"
18,0.04447603405885649,-61.854163741083,-41.73023922363687,"[-61.84053364994129, -6.114075154394058, -6.002092151295656]",0.11369694878174852,"[-101.03954623451517, -5.923403003314334, -5.339486219564932]"
18,0.05081579316841845,-61.83108613146665,-41.76028281521441,"[-61.83056771457493, -6.127166221175557, -5.90219971210724]",0.1130217500225022,"[-100.98470647587583, -5.935899293605203, -5.546771953644992]"
18,0.04582973800753395,-61.83060264334581,-41.779731397735496,"[-61.8311456574814, -6.115805177837338, -5.998574553195127]",0.1141026766357911,"[-101.0850994480878, -5.914856814747893, -5.69311961208669]"
18,0.049921578939862495,-61.8281642378961,-41.726092127195486,"[-61.84273002205166, -6.132729021203005, -6.0266101924072615]",0.11560681364200819,"[-101.09257569212586, -2.1469176916651094, -5.69756154581205]"
18,0.042588479032315454,-61.82326202207257,-41.73645618486478,"[-61.84885951276674, -6.144172170075905, -6.018251631645704]",0.11594915028946375,"[-101.09873203875232, -5.993514012995902, -5.691313652406464]"
18,0.047861494033973204,-61.8192240396209,-41.730925150959976,"[-61.83849619514775, -6.129798538091514, -6.008618342178373]",0.1102174110656698,"[-101.03609665238936, -5.8694755982729845, -5.668158086980554]"
18,0.044364167713663694,-61.83959915729885,-41.713978202853184,"[-61.83635799823489, -6.126830648306409, -6.005363967687288]",0.11553013213692662,"[-101.05188433806788, -5.856937843106991, -5.515152652313986]"
18,0.04623561890059925,-61.82350194021734,-41.722490227098504,"[-61.84420242070212, -6.1302743214458175, -6.03290056886307]",0.11248428369261831,"[-101.10037919375735, -5.957897690766899, -5.37476727947336]"
18,0.0461595859491733,-61.841216785942706,-41.708020810256485,"[-61.85378868449072, -6.130897009337474, -5.924563062414165]",0.11053918596985672,"[-101.10708611909531, -5.98040267091892, -5.697816048020911]"
18,0.04709473814389076,-61.77731696075046,-41.674088202398906,"[-61.774321708331115, -6.129333591605615, -6.014997233134274]",0.11108205771239235,"[-101.05304287409578, -5.8944904716138495, -5.6210318935410015]"
18,0.04656709296790302,-61.83025622893233,-41.72732359891888,"[-61.81828641079589, -6.109635384244832, -5.999538258568762]",0.11069452567533304,"[-101.04220923540112, -5.899481726357138, -5.589650543598097]"
18,0.04261813260633442,-61.81615349742627,-41.73492871016186,"[-61.83539015394692, -6.121986303833175, -6.02372371563137]",0.12372459823004057,"[-101.01766873276443, -5.763648142263634, -5.571943292603095]"
18,0.0456751173276577,-61.81687353741006,-41.76339065426865,"[-61.8243287740247, -6.136798110297214, -5.904755802869623]",0.11536488751239202,"[-101.06544210650272, -5.887113429259415, -5.563603674121836]"
18,0.04877496428774008,-61.82276124040687,-41.733579,"[-61.81094791261287, -6.10644990713044, -5.9949419471153576]",0.11922672180843616,"[-101.03712959342162, -5.859224476975001, -5.363938113807549]"
18,0.04151084219942466,-61.806614677969165,-41.714031,"[-61.82628312634186, -6.1247315679911765, -6.006167860690169]",0.11044658678608522,"[-101.08764419887473, -5.929967525911636, -5.431899019507512]"
18,0.04952431594075379,-61.82745267202623,-41.720538,"[-61.83029137024484, -6.135022178967084, -6.008577718584306]",0.11344895448333629,"[-101.11177875867139, -5.971650767871097, -5.700232197388914]"
18,0.04524669623346801,-61.82697521498567,-41.728583,"[-61.8139954982979, -6.123358944418975, -5.894318221386229]",0.112205994201583,"[-101.0015968082426, -5.9819097458106825, -5.670371291853712]"
18,0.04821989516788151,-61.795493621689424,-41.701178,"[-61.80361067825322, -6.151668254455693, -6.0235822422297005]",0.1147186089354379,"[-101.01857961311721, -5.9524251508981365, -5.6863823098959045]"
18,0.043226952090997195,-61.80427458596224,-41.693443,"[-61.80153945842597, -6.129494662475544, -6.003387835524549]",0.11121307882532636,"[-101.01266027433067, -5.970752050672104, -5.58370458337393]"
18,0.04393647572333797,-61.78723674284117,-41.707144,"[-61.79863225719936, -6.1417571238051, -6.018138106691822]",0.11966684758810925,"[-101.09119771735661, -6.0134473159153, -5.5980764579652345]"
